 code  , binary5p1se , binary5p2se , binary5p3se , binary5p4se 
 0x00  , 0x0p+0      , 0x0p+0      , 0x0p+0      , 0x0p+0      
 0x01  , 0x1p-7      , 0x1p-4      , 0x1p-3      , 0x1p-3      
 0x02  , 0x1p-6      , 0x1p-3      , 0x1p-2      , 0x1p-2      
 0x03  , 0x1p-5      , 0x1.8p-3    , 0x1.8p-2    , 0x1.8p-2    
 0x04  , 0x1p-4      , 0x1p-2      , 0x1p-1      , 0x1p-1      
 0x05  , 0x1p-3      , 0x1.8p-2    , 0x1.4p-1    , 0x1.4p-1    
 0x06  , 0x1p-2      , 0x1p-1      , 0x1.8p-1    , 0x1.8p-1    
 0x07  , 0x1p-1      , 0x1.8p-1    , 0x1.cp-1    , 0x1.cp-1    
 0x08  , 0x1p+0      , 0x1p+0      , 0x1p+0      , 0x1p+0      
 0x09  , 0x1p+1      , 0x1.8p+0    , 0x1.4p+0    , 0x1.2p+0    
 0x0a  , 0x1p+2      , 0x1p+1      , 0x1.8p+0    , 0x1.4p+0    
 0x0b  , 0x1p+3      , 0x1.8p+1    , 0x1.cp+0    , 0x1.6p+0    
 0x0c  , 0x1p+4      , 0x1p+2      , 0x1p+1      , 0x1.8p+0    
 0x0d  , 0x1p+5      , 0x1.8p+2    , 0x1.4p+1    , 0x1.ap+0    
 0x0e  , 0x1p+6      , 0x1p+3      , 0x1.8p+1    , 0x1.cp+0    
 0x0f  , Inf         , Inf         , Inf         , Inf         
 0x10  , NaN         , NaN         , NaN         , NaN         
 0x11  , -0x1p-7     , -0x1p-4     , -0x1p-3     , -0x1p-3     
 0x12  , -0x1p-6     , -0x1p-3     , -0x1p-2     , -0x1p-2     
 0x13  , -0x1p-5     , -0x1.8p-3   , -0x1.8p-2   , -0x1.8p-2   
 0x14  , -0x1p-4     , -0x1p-2     , -0x1p-1     , -0x1p-1     
 0x15  , -0x1p-3     , -0x1.8p-2   , -0x1.4p-1   , -0x1.4p-1   
 0x16  , -0x1p-2     , -0x1p-1     , -0x1.8p-1   , -0x1.8p-1   
 0x17  , -0x1p-1     , -0x1.8p-1   , -0x1.cp-1   , -0x1.cp-1   
 0x18  , -0x1p+0     , -0x1p+0     , -0x1p+0     , -0x1p+0     
 0x19  , -0x1p+1     , -0x1.8p+0   , -0x1.4p+0   , -0x1.2p+0   
 0x1a  , -0x1p+2     , -0x1p+1     , -0x1.8p+0   , -0x1.4p+0   
 0x1b  , -0x1p+3     , -0x1.8p+1   , -0x1.cp+0   , -0x1.6p+0   
 0x1c  , -0x1p+4     , -0x1p+2     , -0x1p+1     , -0x1.8p+0   
 0x1d  , -0x1p+5     , -0x1.8p+2   , -0x1.4p+1   , -0x1.ap+0   
 0x1e  , -0x1p+6     , -0x1p+3     , -0x1.8p+1   , -0x1.cp+0   
 0x1f  , -Inf        , -Inf        , -Inf        , -Inf        
